n_estimators,max_depth,max_features,fit_seconds,predict_seconds,accuracy,precision_macro,recall_macro,f1_macro
300,24,sqrt,25.880617380142212,2.8647100925445557,0.9833695082703391,0.8767567138394117,0.8620778899980094,0.8615228839917856
100,24,sqrt,4.621327638626099,4.80271053314209,0.9833844772097897,0.8771591487946622,0.8614029851185268,0.8613460979769297
100,24,log2,7.91344428062439,1.1635620594024658,0.9834194047351745,0.8730171873415468,0.8613067471961818,0.8589194858644783
300,24,log2,21.438647747039795,5.380967378616333,0.9834443529675923,0.872478117213104,0.8610248310254228,0.8585323860865457
300,16,sqrt,18.975944995880127,0.9311659336090088,0.9835890527156151,0.8616980237920278,0.858371609196323,0.8489181287179697
100,16,log2,6.4248528480529785,0.3096325397491455,0.9836589077663848,0.8597638324954359,0.8573831385383681,0.8470398635933208
300,16,log2,20.62813448905945,0.8316152095794678,0.9836389491804506,0.8592427662252685,0.8569374930584335,0.8466561870751698
100,16,sqrt,6.680005788803101,0.2948155403137207,0.983569094129681,0.8589900464625431,0.8541776963509287,0.84564000976336
300,12,sqrt,16.20346188545227,0.32570648193359375,0.9833395703914377,0.8456698735282949,0.8455406425835297,0.8316404314543774
100,12,sqrt,6.457608222961426,0.19454669952392578,0.9833994461492404,0.844935904499761,0.8449347388737211,0.8307214801623743
300,12,log2,15.501485109329224,0.3253803253173828,0.98331462215902,0.8321465117555523,0.8427050452477691,0.8215711140054794
100,12,log2,5.154899597167969,0.1403038501739502,0.983204849936382,0.8234077106371741,0.8391068882632968,0.8128549606668167
